	respondent,date,collectionpoint,form,question,answer
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Disagree"
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","Free speech includes hate speech.","Disagree"
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1180601","2018-04-11 18:08:18","Free Speech","Free Speech","If you would like take a moment to share your opinion on free speech.","The free speech protected by the first amendment states that the government cannot persecute anyone based on their speech. It does not however garentee a platform for certain types of speech or garentee that there will not be negative consequences to some types of speech such as hate speech"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Disagree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Free speech includes hate speech.","Disagree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Affirmative action is an unfair practice.","Disagree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1180603","2018-04-11 18:08:54","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Neutral"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Disagree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Free speech includes hate speech.","Neutral"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Disagree"
"1180681","2018-04-11 18:15:47","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Agree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Agree"
"1180683","2018-04-11 18:17:31","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Disagree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Neutral"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Free speech includes hate speech.","Agree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Affirmative action is an unfair practice.","Disagree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1180687","2018-04-11 18:19:49","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
